id_programa,nombre_programa,id_area,area_conocimiento_original
115,TÉCNICO LABORAL EN AUXILIAR EN ENFERMERÍA,13,SALUD
116,TÉCNICO LABORAL EN TÉCNICO DE SEGURIDAD OCUPACIONAL,19,EXPLOTACIÓN PRIMARIA Y EXTRACTIVA
117,TÉCNICO LABORAL EN ATENCIÓN Y EDUCACIÓN INTEGRAL A LA PRIMERA INFANCIA,17,"CIENCIAS SOCIALES, EDUCATIVAS,RELIGIOSAS Y SERVICIOS GUBERNAMENTALES"
118,TÉCNICO LABORAL AUXILIAR EN SERVICIOS HOTELEROS,4,VENTAS Y SERVICIOS
119,TECNICO LABORAL EN AUXILIAR CONTABLE,2,FINANZAS Y ADMINISTRACIÓN
120,TÉCNICO LABORAL POR COMPETENCIAS EN ASESOR COMERCIAL Y DE CONTACCENTER,3,VENTAS Y SERVICIOS
121,TÉCNICO LABORAL EN AGENTE TURÍSTICO Y HOTELERO,4,VENTAS Y SERVICIOS
122,TÉCNICO LABORAL EN AUXILIAR EN SERVICIOS FARMACÉUTICOS,7,SALUD
123,CONOCIMIENTOS ACADÉMICOS EN FUNDAMENTOS DE DISEÑO WEB,8,No especificada
124,TÉCNICO LABORAL EN ASISTENTE DE COMERCIO EXTERIOR,1,FINANZAS Y ADMINISTRACIÓN
125,TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO EN SALUD,1,SALUD
126,TÉCNICO LABORAL EN EN SALUD PUBLICA,14,VENTAS Y SERVICIOS
127,TÉCNICO LABORAL EN SECRETARIADO AUXILIAR CONTABLE,2,FINANZAS Y ADMINISTRACIÓN
128,CONOCIMIENTOS ACADÉMICOS EN LENGUA FRANCESA C2 PARA ADULTOS,28,No especificada
129,TÉCNICO LABORAL EN AUXILIAR EN SALUD PÚBLICA,13,SALUD
130,CONOCIMIENTOS ACADEMICOS EN ALEMAN B2,28,No especificada
131,TÉCNICO LABORAL EN AUXILIAR EN SERVICIOS FARMACÉUTICOS,7,VENTAS Y SERVICIOS
132,TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO Y CONTABLE,1,FINANZAS Y ADMINISTRACIÓN
133,TÉCNICO LABORAL EN AUXILIAR CONTABLE Y ADMINISTRATIVO,1,FINANZAS Y ADMINISTRACIÓN
134,TÉCNICO LABORAL POR COMPETENCIAS EN SISTEMAS INTEGRADOS,8,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
135,TÉCNICO LABORAL EN AUXILIAR EN MANEJO AMBIENTAL,24,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
136,TÉCNICO LABORAL POR COMPETENCIA EN REPARACIÓN Y ENSAMBLE DE COMPUTADORES,11,"PROCESAMIENTO, FABRICACIÓN Y ENSAMBLAJE"
137,TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO.,1,FINANZAS Y ADMINISTRACIÓN
138,TÉCNICO LABORAL EN AUXILIAR CRIMINALÍSTICO EN HECHOS VIALES,16,"CIENCIAS SOCIALES, EDUCATIVAS,RELIGIOSAS Y SERVICIOS GUBERNAMENTALES"
139,TÉCNICO LABORAL EN COCINA Y ADMINISTRACIÓN DE RESTAURANTES,1,VENTAS Y SERVICIOS
140,TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,1,FINANZAS Y ADMINISTRACIÓN
141,TÉCNICO LABORAL EN AUXILIAR DE ALIMENTOS Y BEBIDAS,5,VENTAS Y SERVICIOS
142,TECNICO LABORAL POR COMPETENCIAS EN CONTABILIDAD SISTEMATIZADA,2,FINANZAS Y ADMINISTRACIÓN
143,CONOCIMIENTOS ACADÉMICOS EN LENGUA EXTRANJERA INGLES NIVEL MCERL A1,28,No especificada
144,TÉCNICO LABORAL EN AUXILIAR DE NOMINA Y PRESTACIONES,1,FINANZAS Y ADMINISTRACIÓN
145,TÉCNICO LABORAL EN TURISMO,4,VENTAS Y SERVICIOS
146,TÉCNICO LABORAL EN PRODUCCION DE MEDIOS AUDIOVISUALES,11,"ARTE, CULTURA, ESPARCIMIENTO Y DEPORTES"
147,TECNICO LABORAL EN AUXILIAR EN RECURSOS HUMANOS,27,FINANZAS Y ADMINISTRACIÓN
148,TÉCNICO LABORAL EN AJUSTADORES Y REPARADORES DE EQUIPOS ELECTRICOS,27,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
149,TÉCNICO LABORAL EN ATENCION INTEGRAL A LA PRIMERA INFANCIA,7,VENTAS Y SERVICIOS
