id_programa,nombre_programa
338,AUXILIAR OPERADOR Y PROGRAMADOR DE SISTEMAS
339,AUXILIAR PRODUCTIVIDAD
340,AUXILIAR SISTEMAS INFORMATICOS
341,AYUDANTE DE COCINA
342,BACTERIOLOGO
343,BACTERIOLOGO (A)
344,BACTERIOLOGO MICROBIOLOGO CON ENFASIS EN SECTOR INDUSTRIAL
345,BACTERIOLOGO Y LABORATORISTA CLINICO
346,BACTERIOLOGO Y LABORISTA CLINICO
347,BACTERIOLOGO(A)
348,BACTERIOLOGO/A
349,BACTERIÓLOGO Y LABORATORISTA CLÍNICO
350,BANCA Y SEGUROS
351,BARTENDER
352,BELLEZA INTEGRAL
353,BELLEZA Y COSMETOLOGIA
354,BIBLIOTECOLOGO
355,BIBLIOTECOLOGO Y ARCHIVISTA
356,BIOINGENIERO
357,BIOINGENIERO DE PROCESOS
358,BIOINGENIERO(A)
359,BIOLOGO
360,BIOLOGO (A)
361,BIOLOGO AMBIENTAL
362,BIOLOGO CON ENFASIS EN RECURSOS HIDRICOS
363,BIOLOGO CON ENFASIS EN RECURSOS NATURALES
364,BIOLOGO MARINO
365,BIOLOGO VEGETAL
366,BIOLOGO Y MATEMATICO CON ENFASIS EN ESTADISTICA
367,BIOLOGO(A)
368,BIOLÓGO(A)
369,BIOQUIMICO
370,BIOQUIMICO DE ALIMENTOS
371,BIOTECNÓLOGO
372,BIÓLOGO
373,BIÓLOGO (A)
374,BIÓLOGO AMBIENTAL
375,BIÓLOGO(A)
376,BOGOT¿
377,CAJA REGISTRADORA
378,CAPITAN DE SERVICIOS DE ALIMENTOS Y BEBIDAS
379,CERTIFICADO DE TECNICO LABORAL POR COMPETENCIAS EN ANALISIS Y PROGRAMACION DE COMPUTADORES
380,CERTIFICADO DE TECNICO LABORAL POR COMPETENCIAS EN DISEÑO GRAFICO DIGITAL
381,CERTIFICADO DE TECNICO LABORAL POR COMPETENCIAS EN SECRETARIADO BILINGUE
382,CHEF
383,CHEF EJECUTIVO
384,CHEF TÉCNICO POR COMPETENCIAS LABORALES
385,CIENT¿FICO DE DATOS
386,CIENT¿FICO(A) DE LA COMPUTACI¿N
387,CIENTÍFICO(A) DE DATOS
388,CIENTÍFICO(A) DE LA COMPUTACIÓN
389,COCINA
390,COCINA NACIONAL E INTERNACIONAL
391,COCINA NACIONAL E INTERNACIONAL BILINGUE
392,COLORIMETRIA Y COSMETICA CAPILAR
393,COMERCIO INTERNACIONAL
394,COMPETENCIASEN BANCARIA Y COMERCIAL
395,COMUNCADOR SOCIAL - PERIODISTA
396,COMUNICACION SOCIAL
397,COMUNICACION SOCIAL - PERIODISMO
398,COMUNICACION SOCIAL - PERIODISTA
399,COMUNICADOR
400,COMUNICADOR   SOCIAL
401,COMUNICADOR  SOCIAL
402,COMUNICADOR (A)
403,COMUNICADOR (A) AUDIOVISUAL
404,COMUNICADOR (A) SOCIAL
405,COMUNICADOR (A) SOCIAL Y PERIODISTA
406,COMUNICADOR (A) SOCIAL Y PERIODISTA DIGITAL
407,COMUNICADOR (A) SOCIAL- PERIODISTA
408,COMUNICADOR (A) VISUAL
409,COMUNICADOR AUDIOVISUAL
410,COMUNICADOR AUDIOVISUAL Y DIGITAL
411,COMUNICADOR AUDIOVISUAL Y MULTIMEDIAL
412,COMUNICADOR AUDIOVISUAL Y MULTIMEDIOS
413,COMUNICADOR CORPORATIVO
414,COMUNICADOR DIGITAL
415,COMUNICADOR EN ENTRETENIMIENTO DIGITAL
416,COMUNICADOR EN LENGUAJES AUDIOVISUALES
417,COMUNICADOR EN RADIO Y TELEVISION
418,COMUNICADOR ESTRATEGICO
419,COMUNICADOR GRAFICO PUBLICITARIO
420,COMUNICADOR PERIODISTA
421,COMUNICADOR SOCIAL
422,COMUNICADOR SOCIAL     Y     PERIODISTA
423,COMUNICADOR SOCIAL (H)COMUNICADORA SOCIAL (M)
424,COMUNICADOR SOCIAL - PERIODISMO
425,COMUNICADOR SOCIAL - PERIODISMO CON ENFASIS  EN COMUNICACION ORGANIZACIONAL
426,COMUNICADOR SOCIAL - PERIODISTA
427,COMUNICADOR SOCIAL INSTITUCIONAL
428,COMUNICADOR SOCIAL ORGANIZACIONAL
429,COMUNICADOR SOCIAL PERIODISTA
430,COMUNICADOR SOCIAL Y MEDIOS
431,COMUNICADOR SOCIAL Y PERIODISMO
432,COMUNICADOR SOCIAL Y PERIODISTA
433,COMUNICADOR SOCIAL ¿ PERIODISTA
434,COMUNICADOR SOCIAL- PERIODISTA
435,COMUNICADOR SOCIAL- PERIODISTA CON ENFASIS EN COMUNICACION POLITICO-ECONOMICA
436,COMUNICADOR SOCIAL-PERIODISTA
437,COMUNICADOR(A) SOCIAL
438,COMUNICADOR(A) SOCIAL Y PERIODISTA
439,COMUNICADOR(A) VISUAL
440,COMUNIDADOR (A) SOCIAL
441,CONFECCION DE PRENDAS DE VESTIR A LA MEDIDA
442,CONOCIMIENTOS ACADEMICOS EN ASISTENCIA ADMINISTRATIVA CONTABLE BILINGUE
443,CONOCIMIENTOS ACADÉMICOS EN ACTUACIÓN NIVEL II TRANSFORMACIÓN DEL ACTOR
444,CONOCIMIENTOS ACADÉMICOS EN AUXILIAR EN DIGITALIZACIÓN Y SISTEMATIZACIÓN DE DATOS
445,CONOCIMIENTOS ACADÉMICOS EN CUIDADOS DEL ADULTO CON LIMITADA AUTONOMÍA
446,CONSERVADOR Y RESTAURADOR DEL PATRIMONIO CULTURAL
447,CONSTRUCCION EN OBRAS CIVILES
448,CONSTRUCCIONES CIVILES
449,CONSTRUCTOR (A)
450,CONSTRUCTOR CIVIL
451,CONSTRUCTOR EN ARQUITECTURA E INGENIERIA
452,CONSTRUCTOR Y GESTOR EN ARQUITECTURA
453,CONSULTOR DE BELLEZA
454,CONTABILIDAD
455,CONTABILIDAD EMPRESARIAL SISTEMATIZADA
456,CONTABILIDAD SISTEMATIZADA
457,CONTABILIDAD Y AUTITORIA
458,CONTABILIDAD Y FINANZAS
459,CONTABILIZACION DE OPERACIONES COMERCIALES Y FINACIERAS
460,CONTABLE Y FINANCIERO
461,CONTADOR
462,CONTADOR (A)  PUBLICA
463,CONTADOR (A) PUBLICO (A)
464,CONTADOR (A) P¿BLICO (A)
465,CONTADOR (A) PÚBLICO (A)
466,CONTADOR PUBLICO
467,CONTADOR PUBLICO CON ENFASIS EN  SISTEMAS Y ECONOMIA SOLIDARIA
468,CONTADOR PUBLICO CON ENFASIS EN SISTEMAS Y ECONOMIA SOLIDARIA
469,CONTADOR P¿BLICO
470,CONTADOR P¿BLICO DIGITAL TECH
471,CONTADOR PÚBLICA
472,CONTADOR PÚBLICO
473,CONTADOR PÚBLICO INTERNACIONAL
474,CONTADOR PÚBLICO.
475,CONTADOR(A)  PÚBLICO(A)
476,CONTADOR(A) PUBLICO(A)
477,CONTADOR(A) PÚBLICA
478,CONTADOR(A) PÚBLICO(A)
479,CONTROL Y EDUCACIÓN VIAL
480,COORDINACION DEL PROCESO DE AZUCAR A PARTIR DE LA CAÑA DE AZUCAR
481,COSECHA Y BENEFICO DE CAFES ESPECIALES
482,COSMETOLOGIA MEDICA Y ESTETICA
483,COSMETOLOGIA Y ESTETICA FACIAL Y CORPORAL.
484,COSMETOLOGIA Y ESTETICA INTEGRAL
485,COSMETOLOGÍA Y ESTÉTICA INTEGRAL
486,COSTOS Y PRESUPUESTO
487,COSTOS Y PROCESOS INDUSTRIALES
488,CREATIVO / CREATIVA
489,CRIMINALISTA
490,CRIMINALISTICA
491,CRIMINALÍSTICA E INVESTIGADOR JUDICIAL
492,"CUIDADO COSMETICO, ESTETICO DE MANOS Y PIES"
493,CUIDADO ESTETICO DE MANOS Y PIES
494,CUIDADO ESTETICO MANOS Y PIES
495,CUIDADO ESTÈTICO DE MANOS Y PIES
496,CUIDADO ESTÉTICO DE MANOS Y PIES
497,CUIDADO ESTÉTICO DE MANOS Y PIÉS
498,CUIDADOR DE PERSONAS MAYORES
499,CUIDADOS COSMETOLOGICOS Y ESTETICOS
500,DESARROLLO DE SISTEMAS DE INFORMACIÓN
501,DESARROLLO INFANTIL
502,DESPACHO DE AERONAVES - DPA
503,DETECTIVE INVESTIGADOR PRIVADO
504,DIAGNOSTICO Y MANTENIMIENTO DE EQUIPOS DE COMPUTO
505,DIGITADOR DE PAQUETES EMPRESARIALES
506,DIPLOMADO EN AUDITORIA INTEGRAL CON ENFASIS EN REVISORIA FISCAL
507,DIPLOMADO EN FILOSOFIA Y LETRAS
508,DIPLOMADO EN FINANZAS PARA LA ALTA GERENCIA
509,DIPLOMADO EN GERENCIA DE IMPUESTOS
510,DIPLOMADO EN NORMAS INTERNACIONALES DE INFORMACION FINANCIERA - NIIF
511,DIRECTOR  Y PRODUCTOR DE MEDIOS AUDIOVISUALES
512,DIRECTOR MUSICAL
513,DISENADOR GRAFICO
514,DISE¿ADOR DIGITAL
515,DISE¿ADOR HIPERMEDIA
516,DISE¿ADOR INDUSTRIAL
517,DISE¿ADOR VISUAL
518,DISEÑADOR
519,DISEÑADOR  DE MEDIOS  INTERACTIVOS
